omega,F=1.00,F=3.12,F=5.24,F=7.35,F=9.47,F=11.59,F=13.71,F=15.82,F=17.94,F=20.06,F=22.18,F=24.29,F=26.41,F=28.53,F=30.65,F=32.76,F=34.88,F=37.00
2.752519,0.140535,0.446222,0.782067,1.202323,3.279205,3.486310,3.639843,3.770403,3.886154,3.993174,4.092810,4.187678,4.277368,4.363559,4.446069,4.526619,4.604130,4.679609
2.753519,0.140436,0.445814,0.781306,1.200508,3.279547,3.486317,3.640742,3.771030,3.887187,3.993857,4.093984,4.188236,4.276996,4.364086,4.446340,4.526796,4.604859,4.679755
2.754520,0.140332,0.445502,0.780419,1.199173,3.278587,3.487511,3.641194,3.770770,3.888000,3.994818,4.094507,4.187116,4.278489,4.363406,4.447472,4.525599,4.604885,4.680921
2.755520,0.140206,0.445128,0.779863,1.197681,3.280106,3.487976,3.640201,3.771313,3.887859,3.994860,4.093489,4.188662,4.278941,4.363804,4.447468,4.527836,4.602767,4.680809
2.756520,0.140092,0.444690,0.779165,1.196007,3.280723,3.487696,3.642440,3.772902,3.888261,3.994675,4.095297,4.189941,4.278328,4.365655,4.446418,4.528537,4.606071,4.679433
2.757520,0.140008,0.444409,0.778367,1.194528,3.280740,3.489226,3.643215,3.773488,3.889840,3.996614,4.096317,4.190303,4.280041,4.366136,4.448949,4.528195,4.606689,4.682199
2.758520,0.139900,0.444060,0.777706,1.193092,3.281429,3.489860,3.643724,3.773600,3.890450,3.997207,4.096879,4.190711,4.280730,4.365903,4.449461,4.529458,4.606896,4.682650
2.759520,0.139787,0.443699,0.777001,1.191569,3.281820,3.490428,3.644423,3.774750,3.890853,3.997704,4.097312,4.191612,4.281271,4.367199,4.449916,4.529957,4.607579,4.683046
2.760521,0.139685,0.443333,0.776282,1.190048,3.282190,3.491002,3.645053,3.775353,3.891660,3.998386,4.098039,4.192166,4.281794,4.367701,4.450429,4.530442,4.608038,4.683493
2.761521,0.139577,0.442979,0.775566,1.188540,3.282560,3.491571,3.645651,3.775990,3.892262,3.998949,4.098594,4.192735,4.282297,4.368212,4.450935,4.530937,4.608452,4.683932
2.762521,0.139470,0.442620,0.774847,1.187033,3.282909,3.492138,3.646292,3.776558,3.892854,3.999533,4.099233,4.193260,4.282828,4.368703,4.451419,4.531326,4.608968,4.684351
2.763521,0.139362,0.442259,0.774128,1.185539,3.283274,3.492690,3.646854,3.777161,3.893471,4.000175,4.099769,4.193795,4.283388,4.369203,4.451900,4.531760,4.609322,4.684755
2.764521,0.139257,0.441907,0.773417,1.184061,3.283640,3.493321,3.647484,3.777849,3.894064,4.000745,4.100275,4.194411,4.284009,4.369730,4.452474,4.532375,4.609789,4.685289
2.765522,0.139147,0.441544,0.772715,1.182571,3.284037,3.493885,3.648161,3.778509,3.894581,4.001272,4.100947,4.195006,4.284407,4.370337,4.452859,4.532825,4.610368,4.685591
2.766522,0.139042,0.441188,0.771998,1.181083,3.284359,3.494421,3.648642,3.779078,3.895244,4.001888,4.101511,4.195434,4.285027,4.370821,4.453407,4.533139,4.610623,4.686085
2.767522,0.138934,0.440821,0.771280,1.179585,3.284619,3.494859,3.649218,3.779626,3.895838,4.002374,4.101988,4.195882,4.285485,4.371260,4.453712,4.533664,4.610956,4.686313
2.768522,0.138830,0.440474,0.770573,1.178120,3.285052,3.495565,3.649957,3.780191,3.896606,4.003183,4.102647,4.196521,4.286095,4.371910,4.454367,4.534243,4.611632,4.686890
2.769522,0.138724,0.440124,0.769877,1.176675,3.285454,3.496194,3.650624,3.780811,3.897154,4.003805,4.103305,4.197134,4.286713,4.372295,4.454977,4.534791,4.612180,4.687458
2.770523,0.138615,0.439771,0.769177,1.175223,3.285810,3.496792,3.651259,3.781604,3.897798,4.004436,4.103718,4.197744,4.287273,4.372989,4.455520,4.535295,4.612654,4.687954
2.771523,0.138511,0.439416,0.768473,1.173763,3.286175,3.497367,3.651832,3.782240,3.898466,4.005051,4.104314,4.198302,4.287632,4.373531,4.455988,4.535635,4.612996,4.688333
2.772523,0.138406,0.439061,0.767770,1.172308,3.286536,3.497926,3.652405,3.782883,3.899081,4.005635,4.105056,4.198986,4.288254,4.374051,4.456442,4.536123,4.613464,4.688712
2.773523,0.138300,0.438708,0.767062,1.170869,3.286853,3.498492,3.653080,3.783467,3.899662,4.006212,4.105611,4.199520,4.288890,4.374536,4.457008,4.536726,4.614048,4.689237
2.774523,0.138195,0.438353,0.766370,1.169424,3.287197,3.499041,3.653749,3.784066,3.900323,4.006790,4.106224,4.199991,4.289493,4.375038,4.457539,4.537145,4.614518,4.689725
2.775523,0.138086,0.438004,0.765659,1.167998,3.287374,3.499662,3.654216,3.784762,3.900896,4.007452,4.106631,4.200671,4.290013,4.375615,4.458041,4.537732,4.614690,4.690160
2.776524,0.137982,0.437633,0.764970,1.166519,3.287802,3.500067,3.654929,3.785132,3.901434,4.007815,4.107426,4.201041,4.290149,4.375903,4.458071,4.538174,4.615472,4.690024
2.777524,0.137867,0.437288,0.764219,1.165106,3.288159,3.500628,3.655485,3.785888,3.901840,4.008452,4.107568,4.201594,4.291023,4.376577,4.458931,4.538058,4.615627,4.690913
2.778524,0.137766,0.436927,0.763536,1.163665,3.288040,3.501149,3.655593,3.786140,3.902519,4.008937,4.108225,4.201881,4.290898,4.376307,4.459015,4.538813,4.615654,4.690831
2.779524,0.137650,0.436529,0.762807,1.162100,3.288524,3.501044,3.656347,3.786558,3.902358,4.008789,4.108393,4.201973,4.291451,4.376941,4.459027,4.538254,4.616029,4.690799
2.780524,0.137552,0.436227,0.762100,1.160836,3.288898,3.502271,3.656863,3.787573,3.903675,4.010144,4.109171,4.203158,4.292202,4.377732,4.460135,4.539648,4.616172,4.691856
2.781525,0.137455,0.435873,0.761489,1.159434,3.289389,3.502870,3.657867,3.787908,3.904417,4.010684,4.110251,4.203349,4.292901,4.378228,4.460375,4.540203,4.617622,4.692075
2.782525,0.137343,0.435539,0.760790,1.158051,3.289961,3.503510,3.658581,3.789149,3.905001,4.011539,4.110454,4.204663,4.293880,4.379305,4.461554,4.540962,4.617888,4.693241
2.783525,0.137249,0.435199,0.760116,1.156694,3.290130,3.504251,3.659259,3.789751,3.905880,4.012259,4.111563,4.205231,4.294113,4.379719,4.461936,4.541660,4.618745,4.693483
2.784525,0.137145,0.434851,0.759437,1.155292,3.290627,3.504773,3.659937,3.790350,3.906460,4.012888,4.112164,4.205722,4.294937,4.380422,4.462667,4.541917,4.619172,4.694214
2.785525,0.137039,0.434504,0.758746,1.153915,3.290933,3.505400,3.660533,3.791026,3.907123,4.013477,4.112697,4.206377,4.295495,4.380874,4.463116,4.542586,4.619623,4.694596
2.786526,0.136934,0.434157,0.758052,1.152520,3.291284,3.505930,3.661172,3.791579,3.907686,4.014116,4.113226,4.206876,4.296078,4.381465,4.463659,4.543121,4.620147,4.695091
2.787526,0.136828,0.433811,0.757374,1.151137,3.291620,3.506516,3.661818,3.792148,3.908329,4.014741,4.113736,4.207310,4.296541,4.381982,4.464187,4.543560,4.620595,4.695536
2.788526,0.136725,0.433465,0.756695,1.149781,3.291937,3.507124,3.662435,3.792862,3.908996,4.015346,4.114372,4.208008,4.297022,4.382552,4.464664,4.544039,4.621005,4.695936
2.789526,0.136622,0.433117,0.756012,1.148412,3.292255,3.507690,3.663026,3.793500,3.909605,4.015925,4.115089,4.208604,4.297743,4.383058,4.465171,4.544376,4.621555,4.696415
2.790526,0.136518,0.432769,0.755325,1.147040,3.292518,3.508230,3.663605,3.794070,3.910187,4.016441,4.115580,4.209143,4.298318,4.383544,4.465672,4.545096,4.621728,4.696866
2.791527,0.136412,0.432421,0.754641,1.145663,3.292810,3.508738,3.664214,3.794650,3.910745,4.017034,4.116033,4.209658,4.298647,4.383967,4.465936,4.545487,4.622367,4.696967
2.792527,0.136310,0.432077,0.753968,1.144297,3.293147,3.509216,3.664790,3.795347,3.911286,4.017666,4.116704,4.210303,4.299213,4.384401,4.466638,4.545913,4.622883,4.697662
2.793527,0.136210,0.431734,0.753300,1.142977,3.293505,3.509926,3.665472,3.796034,3.911984,4.018352,4.117455,4.210938,4.299846,4.385185,4.467244,4.546500,4.623456,4.698215
2.794527,0.136105,0.431396,0.752620,1.141634,3.293848,3.510565,3.666142,3.796567,3.912740,4.018950,4.118017,4.211395,4.300540,4.385674,4.467772,4.546944,4.623916,4.698717
2.795527,0.136003,0.431048,0.751949,1.140280,3.294110,3.511069,3.666717,3.797280,3.913285,4.019526,4.118520,4.212076,4.301006,4.386248,4.468279,4.547534,4.624310,4.699139
2.796527,0.135899,0.430707,0.751272,1.138951,3.294432,3.511656,3.667349,3.797930,3.913922,4.020095,4.119150,4.212679,4.301525,4.386740,4.468751,4.547934,4.624829,4.699545
2.797528,0.135797,0.430365,0.750603,1.137613,3.294782,3.512279,3.667984,3.798545,3.914597,4.020811,4.119829,4.213236,4.302149,4.387300,4.469324,4.548464,4.625325,4.700047
2.798528,0.135694,0.430024,0.749931,1.136288,3.295049,3.512816,3.668587,3.799157,3.915186,4.021394,4.120413,4.213792,4.302684,4.387849,4.469820,4.549011,4.625790,4.700497
2.799528,0.135591,0.429683,0.749262,1.134963,3.295370,3.513403,3.669165,3.799736,3.915823,4.022011,4.121019,4.214289,4.303292,4.388138,4.470342,4.549533,4.626260,4.700946
2.800528,0.135489,0.429326,0.748595,1.133639,3.295441,3.513747,3.669865,3.800465,3.915958,4.022115,4.121364,4.215001,4.303773,4.388955,4.470595,4.550044,4.626797,4.701184
2.801528,0.135387,0.429002,0.747877,1.132328,3.295989,3.514551,3.670503,3.801073,3.917089,4.023263,4.122221,4.215563,4.304198,4.389509,4.471329,4.550295,4.627281,4.701780
2.802529,0.135279,0.428661,0.747263,1.130969,3.296247,3.515083,3.670260,3.800641,3.917702,4.023877,4.122666,4.215017,4.304986,4.388737,4.471929,4.550358,4.627357,4.702366
2.803529,0.135159,0.428203,0.746575,1.129500,3.295513,3.514419,3.671401,3.802322,3.916614,4.023220,4.121837,4.216668,4.305072,4.390199,4.471561,4.551555,4.626711,4.701952
2.804529,0.135079,0.427957,0.745657,1.128390,3.296804,3.516139,3.672347,3.802743,3.918552,4.024309,4.123826,4.217067,4.303919,4.391095,4.471217,4.551271,4.628636,4.701129
2.805529,0.134974,0.427645,0.745258,1.127059,3.297006,3.516759,3.672241,3.802113,3.919593,4.025715,4.124525,4.216190,4.306634,4.390606,4.473487,4.550660,4.628941,4.703743
2.806529,0.134854,0.427259,0.744608,1.125621,3.296695,3.516459,3.673347,3.804215,3.919577,4.025973,4.124034,4.218393,4.307210,4.391799,4.473893,4.553046,4.628106,4.704117
2.807530,0.134775,0.426966,0.743885,1.124508,3.297742,3.517966,3.674224,3.804881,3.920782,4.026708,4.125795,4.219045,4.306903,4.392738,4.473766,4.553537,4.630151,4.703676
2.808530,0.134673,0.426630,0.743285,1.123215,3.298015,3.518531,3.674841,3.805367,3.921450,4.027534,4.126371,4.219506,4.308325,4.393270,4.475017,4.553556,4.630623,4.705073
2.809530,0.134569,0.426293,0.742626,1.121898,1.843335,3.519044,3.675449,3.806121,3.922064,4.028138,4.126948,4.220157,4.308844,4.393772,4.475532,4.554499,4.630980,4.705541
2.810530,0.134470,0.425954,0.741966,1.120646,1.832823,3.519627,3.676067,3.806741,3.922656,4.028739,4.127551,4.220717,4.309418,4.394314,4.476009,4.554987,4.631507,4.705972
2.811530,0.134368,0.425616,0.741306,1.119360,1.823043,3.520207,3.676668,3.807367,3.923289,4.029315,4.128112,4.221302,4.309918,4.394848,4.476542,4.555542,4.632017,4.706418
2.812530,0.134267,0.425279,0.740650,1.118092,1.813877,3.520772,3.677303,3.807944,3.923899,4.029914,4.128669,4.221875,4.310486,4.395374,4.477040,4.555940,4.632487,4.706863
2.813531,0.134166,0.424948,0.739999,1.116827,1.805223,3.521330,3.677884,3.808554,3.924575,4.030529,4.129318,4.222422,4.311082,4.395890,4.477621,4.556392,4.632931,4.707383
2.814531,0.134064,0.424608,0.739349,1.115546,1.796954,3.521825,3.678585,3.809216,3.925123,4.031222,4.129818,4.223065,4.311647,4.396521,4.478101,4.557016,4.633268,4.707753
2.815531,0.133965,0.424274,0.738677,1.114295,1.789120,3.522481,3.679111,3.809914,3.925794,4.031810,4.130434,4.223650,4.312004,4.396936,4.478477,4.557483,4.633916,4.708054
2.816531,0.133862,0.423939,0.738033,1.112998,1.781580,3.522970,3.679734,3.810420,3.926312,4.032271,4.131063,4.224137,4.312637,4.397442,4.479077,4.557722,4.634342,4.708632
2.817531,0.133760,0.423607,0.737388,1.111766,1.774356,3.523455,3.680370,3.810982,3.927023,4.032915,4.131656,4.224673,4.313245,4.398061,4.479546,4.558330,4.634745,4.709075
2.818532,0.133663,0.423275,0.736744,1.110522,1.767425,3.524151,3.680870,3.811741,3.927705,4.033671,4.132282,4.225241,4.313868,4.398544,4.480098,4.558972,4.635283,4.709580
2.819532,0.133563,0.422939,0.736102,1.109282,1.760731,3.524755,3.681659,3.812423,3.928128,4.034206,4.132873,4.225985,4.314481,4.399215,4.480743,4.559533,4.635877,4.710121
2.820532,0.133463,0.422608,0.735456,1.108040,1.754214,3.525337,3.682186,3.813049,3.928841,4.034881,4.133483,4.226437,4.315014,4.399735,4.481301,4.560049,4.636380,4.710632
2.821532,0.133363,0.422272,0.734811,1.106800,1.747903,3.525903,3.682810,3.813644,3.929388,4.035478,4.134028,4.226938,4.315568,4.400289,4.481827,4.560518,4.636817,4.711092
2.822532,0.133263,0.421947,0.734165,1.105560,1.741828,3.526450,3.683459,3.814292,3.930147,4.036129,4.134716,4.227637,4.316107,4.400824,4.482329,4.561027,4.637364,4.711529
2.823533,0.133163,0.421617,0.733522,1.104324,1.735915,3.526976,3.684117,3.814964,3.930836,4.036692,4.135302,4.228300,4.316734,4.401363,4.482808,4.561515,4.637800,4.711993
2.824533,0.133062,0.421290,0.732880,1.103071,1.730147,3.527535,3.684773,3.815599,3.931458,4.037261,4.135972,4.228838,4.317226,4.401965,4.483252,4.562076,4.638355,4.712363
2.825533,0.132964,0.420952,0.732238,1.101873,1.724476,3.528140,3.685403,3.816178,3.932001,4.037966,4.136437,4.229475,4.317869,4.402496,4.483913,4.562421,4.638749,4.712940
2.826533,0.132859,0.420619,0.731590,1.100635,1.718996,3.528356,3.685881,3.816829,3.932666,4.038597,4.137008,4.229927,4.318219,4.402588,4.484307,4.563042,4.639054,4.713233
2.827533,0.132760,0.420294,0.730908,1.099342,1.713628,3.529181,3.686296,3.817124,3.933087,4.038681,4.137584,4.230113,4.318618,4.403332,4.484341,4.563084,4.639633,4.713297
2.828533,0.132658,0.419924,0.730289,1.098165,1.708232,3.529565,3.687002,3.817713,3.933285,4.039366,4.137543,4.230857,4.319213,4.403770,4.485126,4.563413,4.639375,4.713944
2.829534,0.132543,0.419594,0.729602,1.096852,1.703100,3.529435,3.687271,3.818235,3.934027,4.039845,4.138210,4.231045,4.318981,4.403413,4.485003,4.563821,4.639725,4.713572
2.830534,0.132459,0.419288,0.728974,1.095679,1.698188,3.530610,3.687803,3.818710,3.934748,4.040252,4.139113,4.231417,4.320017,4.404589,4.485559,4.564131,4.640726,4.714488
2.831534,0.132361,0.418939,0.728402,1.094559,1.693262,3.531392,3.688961,3.819694,3.935328,4.041359,4.139578,4.232745,4.321072,4.405651,4.486887,4.565322,4.640750,4.715545
2.832534,0.132265,0.418656,0.727748,1.093342,1.688486,3.531714,3.689614,3.820636,3.936399,4.042275,4.140734,4.233396,4.321185,4.405848,4.487085,4.566066,4.642174,4.715556
2.833534,0.132170,0.418331,0.727148,1.092166,1.683843,3.532626,3.690212,3.821239,3.937077,4.042696,4.141339,4.233936,4.322404,4.406826,4.488095,4.566170,4.642691,4.716659
2.834535,0.132070,0.417994,0.726517,1.090993,1.679208,3.533168,3.691001,3.821896,3.937665,4.043538,4.141817,4.234748,4.322971,4.407366,4.488586,4.567068,4.642983,4.717129
2.835535,0.131974,0.417677,0.725884,1.089795,1.674634,3.533728,3.691623,3.822553,3.938384,4.044117,4.142504,4.235330,4.323457,4.407950,4.489066,4.567617,4.643634,4.717495
2.836535,0.131874,0.417352,0.725259,1.088594,1.670169,3.534320,3.692203,3.823205,3.938999,4.044731,4.143162,4.235851,4.324078,4.408415,4.489696,4.568146,4.644171,4.718087
2.837535,0.131777,0.417029,0.724633,1.087393,1.665776,3.534829,3.692768,3.823842,3.939548,4.045257,4.143746,4.236344,4.324676,4.408991,4.490255,4.568646,4.644672,4.718588
2.838535,0.131678,0.416704,0.724006,1.086208,1.661449,3.535368,3.693375,3.824470,3.940153,4.045903,4.144334,4.236898,4.325214,4.409527,4.490790,4.569140,4.645146,4.719046
2.839536,0.131581,0.416379,0.723379,1.085053,1.657187,3.535992,3.694063,3.825112,3.940748,4.046528,4.144905,4.237623,4.325805,4.410151,4.491284,4.569670,4.645597,4.719511
2.840536,0.131482,0.416054,0.722747,1.083883,1.652980,3.536567,3.694711,3.825700,3.941557,4.047204,4.145584,4.238261,4.326295,4.410665,4.491790,4.570144,4.646133,4.719919
2.841536,0.131383,0.415722,0.722115,1.082676,1.648834,3.537011,3.695196,3.826298,3.942127,4.047820,4.146075,4.238582,4.326890,4.411134,4.492208,4.570558,4.646469,4.720350
2.842536,0.131282,0.415400,0.721490,1.081517,1.644759,3.537493,3.695851,3.826859,3.942543,4.048303,4.146589,4.239264,4.327174,4.411477,4.492620,4.571016,4.646895,4.720540
2.843536,0.131186,0.415077,0.720871,1.080364,1.640749,3.538194,3.696538,3.827504,3.943393,4.048971,4.147335,4.239973,4.328011,4.412196,4.493369,4.571582,4.647532,4.721333
2.844537,0.131092,0.414758,0.720246,1.079205,1.636819,3.538777,3.697185,3.828297,3.944074,4.049630,4.148001,4.240503,4.328561,4.412917,4.493780,4.572239,4.648107,4.721714
2.845537,0.130994,0.414443,0.719643,1.078039,1.632940,3.539364,3.697777,3.828845,3.944641,4.050343,4.148601,4.241182,4.329226,4.413426,4.494429,4.572652,4.648615,4.722330
2.846537,0.130896,0.414116,0.719017,1.076887,1.629083,3.539846,3.698421,3.829520,3.945227,4.050919,4.149141,4.241689,4.329746,4.413926,4.494957,4.573221,4.649020,4.722765
2.847537,0.130800,0.413794,0.718400,1.075741,1.625281,3.540452,3.699080,3.830191,3.945899,4.051527,4.149772,4.242327,4.330306,4.414556,4.495481,4.573789,4.649541,4.723228
2.848537,0.130701,0.413476,0.717787,1.074582,1.621556,3.541000,3.699662,3.830802,3.946577,4.052201,4.150430,4.242909,4.330871,4.415018,4.496025,4.574247,4.650102,4.723662
2.849537,0.130606,0.413157,0.717170,1.073436,1.617856,3.541567,3.700286,3.831450,3.947194,4.052767,4.150990,4.243533,4.331477,4.415640,4.496586,4.574765,4.650543,4.724215
2.850538,0.130507,0.412838,0.716555,1.072284,1.614214,3.541911,3.700860,3.832076,3.947838,4.053421,4.151631,4.243873,4.332053,4.416125,4.497140,4.575207,4.651075,4.724702
2.851538,0.130412,0.412515,0.715912,1.071154,1.610551,3.542685,3.701560,3.832738,3.948111,4.053677,4.151957,4.244727,4.332648,4.416769,4.497660,4.575825,4.651225,4.725190
2.852538,0.130316,0.412200,0.715329,1.070002,1.607049,3.543254,3.702153,3.833250,3.949120,4.054688,4.152860,4.245332,4.332716,4.417332,4.497900,4.576301,4.652087,4.725150
2.853538,0.130197,0.411848,0.714718,1.068780,1.603434,3.542944,3.702196,3.833564,3.949653,4.055315,4.153265,4.244656,4.333805,4.416685,4.498769,4.575877,4.652320,4.726158
2.854538,0.130119,0.411525,0.713916,1.067749,1.599880,3.544356,3.703446,3.834658,3.949046,4.054026,4.152818,4.246490,4.333734,4.418099,4.498297,4.577405,4.651467,4.725751
2.855539,0.130023,0.411245,0.713459,1.066429,1.596610,3.544428,3.703268,3.834177,3.950984,4.056267,4.154671,4.246508,4.333352,4.418840,4.498517,4.576795,4.653561,4.725320
2.856539,0.129897,0.410868,0.712883,1.065392,1.592950,3.544616,3.704027,3.835424,3.951279,4.057082,4.154736,4.246290,4.335524,4.417579,4.500378,4.577276,4.653375,4.727595
2.857539,0.129834,0.410603,0.712161,1.064367,1.589796,3.546025,3.705305,3.836562,3.951709,4.056580,4.155389,4.248288,4.335681,4.420082,4.500212,4.578949,4.653899,4.727490
2.858539,0.129738,0.410294,0.711671,1.063217,1.586514,3.546489,3.705729,3.836863,3.952924,4.058417,4.156497,4.248825,4.336493,4.420655,4.501369,4.579253,4.655059,4.728373
2.859539,0.129634,0.409972,0.711064,1.062121,1.583163,3.547098,3.706538,3.837820,3.953534,4.059032,4.157055,4.249344,4.337225,4.420615,4.501957,4.579941,4.655498,4.729006
2.860540,0.129546,0.409660,0.710438,1.061006,1.579957,3.547664,3.707151,3.838432,3.954174,4.059573,4.157686,4.250034,4.337781,4.421747,4.502421,4.580467,4.656023,4.729449
2.861540,0.129450,0.409345,0.709852,1.059889,1.576720,3.548205,3.707765,3.839064,3.954786,4.060260,4.158298,4.250608,4.338349,4.422274,4.502974,4.580962,4.656516,4.729923
2.862540,0.129355,0.409030,0.709244,1.058781,1.573541,3.548730,3.708372,3.839704,3.955434,4.060828,4.158932,4.251193,4.338912,4.422885,4.503499,4.581525,4.657040,4.730391
2.863540,0.129258,0.408712,0.708643,1.057668,1.570360,3.549287,3.708957,3.840282,3.956029,4.061494,4.159487,4.251752,4.339519,4.423368,4.504072,4.581974,4.657538,4.730910
2.864540,0.129163,0.408397,0.708039,1.056569,1.567231,3.549839,3.709569,3.840945,3.956659,4.062102,4.160075,4.252387,4.340066,4.423938,4.504563,4.582513,4.657955,4.731353
2.865540,0.129068,0.408089,0.707446,1.055467,1.564138,3.550432,3.710248,3.841584,3.957351,4.062757,4.160729,4.253006,4.340639,4.424546,4.505202,4.583095,4.658527,4.731853
2.866541,0.128974,0.407771,0.706836,1.054355,1.561070,3.550984,3.710884,3.842254,3.957993,4.063307,4.161374,4.253607,4.341117,4.425075,4.505679,4.583426,4.659052,4.732222
2.867541,0.128878,0.407455,0.706242,1.053271,1.558003,3.551459,3.711449,3.842870,3.958596,4.063990,4.161922,4.254069,4.341765,4.425570,4.506166,4.583892,4.659359,4.732766
2.868541,0.128779,0.407138,0.705629,1.052138,1.554981,3.551953,3.711979,3.843359,3.959019,4.064491,4.162357,4.254597,4.342140,4.425959,4.506447,4.584445,4.659713,4.732988
2.869541,0.128689,0.406830,0.705035,1.051093,1.552013,3.552522,3.712651,3.844121,3.959817,4.065037,4.163117,4.255348,4.342850,4.426690,4.507246,4.585011,4.660439,4.733660
2.870541,0.128594,0.406525,0.704457,1.049990,1.549061,3.553153,3.713345,3.844788,3.960496,4.065917,4.163759,4.255940,4.343524,4.427348,4.507821,4.585601,4.661001,4.734249
2.871542,0.128498,0.406204,0.703861,1.048917,1.546141,3.553727,3.713998,3.845471,3.961156,4.066477,4.164418,4.256545,4.344126,4.427657,4.508431,4.586200,4.661541,4.734758
2.872542,0.128404,0.405891,0.703264,1.047811,1.543236,3.554251,3.714591,3.846054,3.961817,4.067024,4.165051,4.257166,4.344732,4.428196,4.508962,4.586741,4.662074,4.735280
2.873542,0.128311,0.405580,0.702675,1.046734,1.540351,3.554802,3.715219,3.846704,3.962447,4.067714,4.165658,4.257768,4.345303,4.428798,4.509487,4.587256,4.662572,4.735756
2.874542,0.128217,0.405276,0.702081,1.045674,1.537477,3.555308,3.715791,3.847323,3.963055,4.068337,4.166225,4.258332,4.345856,4.429498,4.510031,4.587752,4.663041,4.736211
2.875542,0.128122,0.404968,0.701487,1.044612,1.534641,3.555888,3.716444,3.848000,3.963664,4.069029,4.166814,4.258857,4.346428,4.430084,4.510593,4.588196,4.663500,4.736689
2.876543,0.128028,0.404662,0.700877,1.043541,1.531830,3.556392,3.717046,3.848578,3.964217,4.069525,4.167348,4.259536,4.346989,4.430705,4.511143,4.588828,4.663861,4.737153
2.877543,0.127935,0.404348,0.700310,1.042438,1.529044,3.556960,3.717687,3.849250,3.964951,4.070295,4.168049,4.260160,4.347376,4.431168,4.511542,4.589342,4.664540,4.737406
2.878543,0.127831,0.404021,0.699723,1.041405,1.526275,3.557505,3.718268,3.849874,3.965600,4.070847,4.168677,4.260272,4.347946,4.431431,4.511838,4.589459,4.665063,4.737876
2.879543,0.127742,0.403726,0.699080,1.040307,1.523452,3.557787,3.718580,3.850190,3.965888,4.070766,4.168930,4.261025,4.348581,4.432225,4.512483,4.589842,4.664990,4.738431
2.880543,0.127647,0.403399,0.698482,1.039114,1.520632,3.558074,3.719050,3.850618,3.966132,4.071725,4.169064,4.261576,4.348786,4.432365,4.512801,4.590435,4.665123,4.738459
2.881543,0.127542,0.403037,0.697894,1.038098,1.517956,3.558672,3.719666,3.851274,3.966862,4.072136,4.169797,4.261579,4.348415,4.432018,4.512426,4.590443,4.665690,4.737806
2.882544,0.127451,0.402781,0.697324,1.037105,1.515343,3.559377,3.720392,3.852037,3.967753,4.072662,4.170707,4.262230,4.349911,4.433526,4.513614,4.590675,4.666448,4.739400
2.883544,0.127369,0.402495,0.696726,1.036033,1.512636,3.559701,3.720801,3.852430,3.968312,4.073611,4.171239,4.263480,4.350873,4.434424,4.514744,4.592055,4.666779,4.740339
2.884544,0.127277,0.402177,0.696189,1.035019,1.510092,3.560700,3.722006,3.853701,3.969167,4.074606,4.172075,4.264195,4.351410,4.434668,4.515280,4.592929,4.667812,4.740767
2.885544,0.127184,0.401884,0.695629,1.034008,1.507518,3.561356,3.722705,3.854424,3.970091,4.075232,4.173013,4.264780,4.351959,4.435673,4.515625,4.593438,4.668597,4.741234
2.886544,0.127093,0.401586,0.695050,1.032969,1.504925,3.561854,3.723204,3.854933,3.970729,4.075841,4.173627,4.265415,4.352773,4.436318,4.516533,4.593870,4.669139,4.741996
2.887545,0.127000,0.401280,0.694465,1.031924,1.502341,3.562401,3.723932,3.855689,3.971248,4.076512,4.174111,4.266080,4.353349,4.436837,4.517041,4.594507,4.669534,4.742490
2.888545,0.126907,0.400973,0.693887,1.030880,1.499774,3.562927,3.724513,3.856284,3.971964,4.077112,4.174813,4.266681,4.353955,4.437340,4.517639,4.595082,4.670120,4.742991
2.889545,0.126815,0.400668,0.693311,1.029846,1.497235,3.563459,3.725046,3.856831,3.972621,4.077823,4.175449,4.267334,4.354582,4.437853,4.518192,4.595648,4.670661,4.743541
2.890545,0.126723,0.400365,0.692729,1.028812,1.494711,3.564046,3.725685,3.857472,3.973211,4.078456,4.176015,4.267939,4.355096,4.438455,4.518597,4.596136,4.671149,4.743964
2.891545,0.126630,0.400062,0.692155,1.027777,1.492197,3.564608,3.726399,3.858219,3.973783,4.079082,4.176562,4.268533,4.355652,4.439090,4.519192,4.596675,4.671601,4.744425
2.892546,0.126538,0.399756,0.691580,1.026736,1.489699,3.565126,3.726988,3.858845,3.974549,4.079650,4.177303,4.269099,4.356078,4.439660,4.519586,4.597222,4.672143,4.744738
2.893546,0.126444,0.399450,0.690987,1.025705,1.487228,3.565575,3.727594,3.859463,3.975155,4.080299,4.177894,4.269533,4.356903,4.440168,4.520385,4.597408,4.672686,4.745487
2.894546,0.126351,0.399138,0.690418,1.024666,1.484721,3.566141,3.728122,3.859974,3.975667,4.080765,4.178351,4.270201,4.357260,4.440602,4.520595,4.598149,4.672931,4.745732
2.895546,0.126258,0.398844,0.689848,1.023641,1.482310,3.566597,3.728818,3.860728,3.976314,4.081499,4.179086,4.270793,4.357967,4.441231,4.521381,4.598575,4.673653,4.746338
2.896546,0.126169,0.398541,0.689278,1.022641,1.479903,3.567277,3.729498,3.861409,3.977039,4.082209,4.179681,4.271507,4.358641,4.441903,4.521991,4.599323,4.674080,4.746951
2.897547,0.126078,0.398240,0.688707,1.021614,1.477497,3.567826,3.730144,3.862077,3.977677,4.082862,4.180334,4.272120,4.359212,4.442537,4.522591,4.599881,4.674731,4.747402
